Date,Open,High,Low,Close,Adj Close,Volume
2018-06-15,3528.709961,3540.639893,3505.020020,3505.020020,3505.020020,83540900
2018-06-18,3500.250000,3500.899902,3451.899902,3466.649902,3466.649902,34900000
2018-06-19,3459.540039,3459.540039,3410.409912,3435.300049,3435.300049,38580500
2018-06-20,3443.510010,3461.649902,3437.239990,3439.600098,3439.600098,39039300
2018-06-21,3442.689941,3456.610107,3395.270020,3403.510010,3403.510010,39166000
2018-06-22,3407.290039,3441.600098,3407.290039,3441.600098,3441.600098,31632700
2018-06-25,3422.600098,3425.399902,3369.209961,3369.209961,3369.209961,32401000
2018-06-26,3379.139893,3387.090088,3363.330078,3368.719971,3368.719971,32457600
2018-06-27,3368.120117,3424.600098,3340.850098,3397.129883,3397.129883,47042100
2018-06-28,3383.429932,3403.360107,3347.939941,3365.520020,3365.520020,37973900
2018-06-29,3389.439941,3420.969971,3389.439941,3395.600098,3395.600098,42864900
2018-07-02,3375.560059,3386.070068,3345.090088,3372.209961,3372.209961,35250000
2018-07-03,3382.679932,3420.379883,3379.010010,3406.340088,3406.340088,35457900
2018-07-04,3402.020020,3417.689941,3400.449951,3412.030029,3412.030029,25896300
2018-07-05,3411.239990,3459.909912,3411.239990,3440.919922,3440.919922,39911900
2018-07-06,3449.500000,3453.909912,3430.310059,3448.489990,3448.489990,0
2018-07-09,3458.449951,3471.500000,3451.959961,3460.439941,3460.439941,26456100
2018-07-10,3465.250000,3480.439941,3455.979980,3473.310059,3473.310059,31956200
2018-07-11,3454.659912,3454.659912,3422.350098,3422.350098,3422.350098,33303100
2018-07-12,3427.209961,3446.550049,3418.060059,3445.489990,3445.489990,29511800
2018-07-13,3454.290039,3466.260010,3447.870117,3454.540039,3454.540039,0
2018-07-16,3455.169922,3464.389893,3441.879883,3449.080078,3449.080078,26040600
2018-07-17,3445.340088,3461.929932,3429.959961,3457.500000,3457.500000,31902200
2018-07-18,3468.510010,3487.000000,3468.510010,3485.080078,3485.080078,32387600
2018-07-19,3481.409912,3486.979980,3466.719971,3471.639893,3471.639893,30465500
2018-07-20,3466.409912,3481.830078,3431.949951,3460.030029,3460.030029,42417800
2018-07-23,3453.909912,3460.399902,3439.679932,3454.050049,3454.050049,25330600
2018-07-24,3460.659912,3493.979980,3460.479980,3483.310059,3483.310059,35552400
2018-07-25,3482.310059,3486.040039,3460.000000,3468.449951,3468.449951,31713400
2018-07-26,3472.820068,3509.379883,3472.820068,3509.260010,3509.260010,40454700
2018-07-27,3512.739990,3529.389893,3509.669922,3527.179932,3527.179932,35125600
2018-07-30,3517.560059,3521.419922,3511.899902,3512.310059,3512.310059,26136300
2018-07-31,3512.030029,3536.870117,3509.100098,3525.489990,3525.489990,44518000
2018-08-02,3505.110107,3505.110107,3460.139893,3469.209961,3469.209961,51087800
2018-08-03,3474.820068,3491.469971,3470.260010,3482.399902,3482.399902,32494300
2018-08-06,3483.189941,3502.350098,3472.010010,3483.300049,3483.300049,28441200
2018-08-07,3487.030029,3514.969971,3487.030029,3504.370117,3504.370117,26982200
2018-08-08,3502.169922,3509.310059,3486.570068,3493.600098,3493.600098,29478300
2018-08-09,3490.370117,3496.969971,3478.280029,3494.129883,3494.129883,26382100
2018-08-10,3486.310059,3486.310059,3413.679932,3426.280029,3426.280029,0
2018-08-13,3423.370117,3424.229980,3400.229980,3409.679932,3409.679932,40432900
2018-08-14,3415.080078,3435.120117,3398.379883,3409.439941,3409.439941,33551400
2018-08-15,3411.270020,3422.860107,3349.139893,3359.080078,3359.080078,37398100
2018-08-16,3366.010010,3381.629883,3357.489990,3377.560059,3377.560059,34385700
2018-08-17,3378.489990,3385.739990,3354.300049,3372.939941,3372.939941,36330100
2018-08-20,3376.379883,3405.169922,3376.379883,3393.669922,3393.669922,22306100
2018-08-21,3390.260010,3424.000000,3387.040039,3411.659912,3411.659912,28441100
2018-08-22,3408.280029,3429.590088,3404.870117,3420.179932,3420.179932,29189100
2018-08-23,3420.600098,3430.370117,3416.100098,3419.260010,3419.260010,24388700
2018-08-24,3419.449951,3436.550049,3419.449951,3427.439941,3427.439941,22323100
2018-08-27,3435.120117,3460.719971,3433.590088,3456.010010,3456.010010,19137000
2018-08-28,3459.120117,3463.030029,3447.550049,3447.570068,3447.570068,31450000
2018-08-29,3448.439941,3457.840088,3438.149902,3456.129883,3456.129883,25911500
2018-08-30,3452.939941,3452.939941,3423.419922,3430.989990,3430.989990,33576500
2018-08-31,3428.629883,3428.629883,3389.919922,3392.899902,3392.899902,41525400
2018-09-03,3391.820068,3397.239990,3382.020020,3394.989990,3394.989990,22562900
2018-09-04,3401.250000,3408.250000,3343.979980,3359.360107,3359.360107,43477900
2018-09-05,3352.709961,3352.709961,3315.419922,3315.620117,3315.620117,52518800
2018-09-06,3315.879883,3328.689941,3295.949951,3295.949951,3295.949951,38582500
2018-09-07,3298.010010,3305.629883,3274.399902,3293.360107,3293.360107,41777200
2018-09-10,3291.649902,3323.550049,3288.969971,3309.280029,3309.280029,40908400
2018-09-11,3313.090088,3318.590088,3286.969971,3311.659912,3311.659912,0
2018-09-12,3313.979980,3329.550049,3304.800049,3326.600098,3326.600098,42044700
2018-09-13,3325.439941,3354.070068,3323.090088,3333.679932,3333.679932,35911300
2018-09-14,3339.310059,3351.530029,3334.239990,3344.629883,3344.629883,29863800
2018-09-17,3340.040039,3351.350098,3333.469971,3346.110107,3346.110107,33755900
2018-09-18,3343.989990,3368.310059,3337.370117,3358.459961,3358.459961,34491900
2018-09-19,3359.870117,3373.899902,3351.639893,3368.560059,3368.560059,44059600
2018-09-20,3369.000000,3409.219971,3368.370117,3403.120117,3403.120117,52954000
2018-09-21,3407.459961,3436.479980,3407.459961,3430.810059,3430.810059,119799100
2018-09-24,3426.850098,3426.850098,3405.419922,3410.439941,3410.439941,0
2018-09-25,3410.050049,3425.639893,3408.699951,3419.780029,3419.780029,34820900
2018-09-26,3421.899902,3433.739990,3415.580078,3433.149902,3433.149902,33191700
2018-09-27,3429.580078,3452.409912,3408.479980,3449.790039,3449.790039,37210800
2018-09-28,3440.399902,3440.399902,3380.270020,3399.199951,3399.199951,67944900
2018-10-01,3399.959961,3425.449951,3398.340088,3414.159912,3414.159912,39124000
2018-10-02,3403.590088,3403.590088,3370.949951,3388.989990,3388.989990,46192700
2018-10-03,3395.159912,3414.229980,3389.520020,3405.479980,3405.479980,38615200
2018-10-04,3400.120117,3400.149902,3371.219971,3375.080078,3375.080078,41921400
2018-10-05,3374.270020,3377.699951,3343.669922,3345.510010,3345.510010,37282000
2018-10-08,3338.020020,3338.020020,3306.280029,3309.719971,3309.719971,39406400
2018-10-09,3311.340088,3327.530029,3278.020020,3321.790039,3321.790039,47850800
2018-10-10,3321.590088,3321.590088,3266.229980,3266.899902,3266.899902,0
2018-10-11,3245.580078,3254.370117,3206.199951,3209.189941,3209.189941,56680900
2018-10-12,3219.189941,3245.159912,3193.399902,3194.409912,3194.409912,42319300
2018-10-15,3193.790039,3214.909912,3180.610107,3210.370117,3210.370117,30415300
2018-10-16,3211.469971,3260.810059,3208.139893,3257.340088,3257.340088,40352900
2018-10-17,3260.290039,3282.229980,3230.300049,3243.080078,3243.080078,36427300
2018-10-18,3241.790039,3258.340088,3211.590088,3211.590088,3211.590088,47160000
2018-10-19,3210.820068,3225.639893,3183.199951,3210.820068,3210.820068,63498100
2018-10-22,3217.550049,3245.870117,3187.500000,3190.090088,3190.090088,41336900
2018-10-23,3179.070068,3179.070068,3132.290039,3140.939941,3140.939941,49626800
2018-10-24,3144.159912,3185.989990,3128.929932,3130.330078,3130.330078,43247500
